ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
1,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
2,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
3,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
4,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
5,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
6,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
7,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
8,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
9,1A,"Straight - Fine, no curl pattern",Low Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
10,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
11,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
12,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
13,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
14,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
15,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
16,1A,"Straight - Fine, no curl pattern",Low Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
17,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
18,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
19,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
20,1A,"Straight - Fine, no curl pattern",Low Porosity,Normal Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
